question	label
我听说过唐岐山，他是中国人并且出生在河南开封。但是，我想了解有关他出生和去世的具体日期，还有他在‘文化大革命’中的罪行。该问题的答案在知识库中对应的三元组为['唐岐山 ||| 出生年月 ||| 1931年1月', '唐岐山 ||| 去世年月 ||| 1988年10月', '唐岐山 ||| 其他信息 ||| 因“文化大革命”中犯有罪行，1979年12月被判处无期徒刑。']。这样对吗？	1
我听说过唐岐山，他是中国人并且出生在河南开封。但是，我想了解有关他出生和去世的具体日期，还有他在‘文化大革命’中的罪行。该问题的答案在知识库中对应的三元组为['唐岐山 ||| 出生日期 ||| 1931', '唐岐山 ||| 去世年月 ||| 1988年10月', '唐岐山 ||| 籍贯 ||| 河南开封']。这样对吗？	0
耿楠是一位在电视剧中有着出色表现的女演员，她在表演上展示出了非凡的才话。耿楠是中国人，出生在北京，她的星座是射手座me。然而，我不记得她的体重是多少，她的签约公司是哪家，以及她的代表作是什么。你能告诉我么麽？该问题的答案在知识库中对应的三元组为['耿楠 ||| 体重 ||| 41公斤', '耿楠 ||| 签约公司 ||| 中国国际电视总公司', '耿楠 ||| 代表作 ||| 《军妹》']。这样对吗？	1
耿楠是一位在电视剧中有着出色表现的女演员，她在表演上展示出了非凡的才话。耿楠是中国人，出生在北京，她的星座是射手座me。然而，我不记得她的体重是多少，她的签约公司是哪家，以及她的代表作是什么。你能告诉我么麽？该问题的答案在知识库中对应的三元组为['耿楠 ||| 出生地 ||| 北京', '耿楠 ||| 代表作 ||| 《军妹》']。这样对吗？	0
圆明园的开放时间是什么时候？该问题的答案在知识库中对应的三元组为['没有找到该问题对应的知识']。这样对吗？	1
圆明园的开放时间是什么时候？该问题的答案在知识库中对应的三元组为['圆明园 ||| 被毁时间 ||| 1860年10月6日，圆明园在第二次鸦片战争中被英法联军焚毁']。这样对吗？	0
周穆王在位多少年？该问题的答案在知识库中对应的三元组为['周穆王 ||| 在位时间 ||| 55年']。这样对吗？	1
周穆王在位多少年？该问题的答案在知识库中对应的三元组为['周穆王 ||| 在位 ||| 待考']。这样对吗？	0
桥本凉是一位日本的小演员和歌手，那么他的血型和身高是多少，他的出生地在哪里，又是在哪个公司工作的呢？他最喜欢的运动和特长是什么？该问题的答案在知识库中对应的三元组为['桥本凉 ||| 血型 ||| O型', '桥本凉 ||| 身高 ||| 160cm', '桥本凉 ||| 出生地 ||| 日本神奈川县', '桥本凉 ||| 经纪公司 ||| johnnys', '桥本凉 ||| 喜欢的运动 ||| 棒球', '桥本凉 ||| 特长 ||| 投接球']。这样对吗？	1
桥本凉是一位日本的小演员和歌手，那么他的血型和身高是多少，他的出生地在哪里，又是在哪个公司工作的呢？他最喜欢的运动和特长是什么？该问题的答案在知识库中对应的三元组为['桥本凉 ||| 血型 ||| O型', '桥本凉 ||| 身高 ||| 160cm', '桥本凉 ||| 出生地 ||| 日本神奈川县', '桥本凉 ||| 经纪公司 ||| johnnys', '桥本凉 ||| 血型 ||| O型', '桥本凉 ||| 特长 ||| 投接球']。这样对吗？	0
北京人在纽约收视率是多少？该问题的答案在知识库中对应的三元组为['没有找到该问题对应的知识']。这样对吗？	1
北京人在纽约收视率是多少？该问题的答案在知识库中对应的三元组为['纽约 ||| 地域名人 ||| 罗斯福，奥本海默，乔丹，史泰龙', '纽约 ||| 著名景点 ||| 自由女神像，帝国大厦，时代广场']。这样对吗？	0
星辰阁的第一任长老是谁？该问题的答案在知识库中对应的三元组为['没有找到该问题对应的知识']。这样对吗？	1
星辰阁的第一任长老是谁？该问题的答案在知识库中对应的三元组为['星辰阁 ||| 公会宣言 ||| 用刀与剑捍卫着我们的荣耀']。这样对吗？	0
哪些话剧是唐曾的代表作该问题的答案在知识库中对应的三元组为['唐曾 ||| 话剧作品 ||| 《倒挂的星条旗》《哈姆雷特》']。这样对吗？	1
哪些话剧是唐曾的代表作该问题的答案在知识库中对应的三元组为['唐曾 ||| 代表作品 ||| 《知青》《我们的生活比蜜甜》']。这样对吗？	0
马尔济斯犬的寿命一般有多久？该问题的答案在知识库中对应的三元组为['没有找到该问题对应的知识']。这样对吗？	1
马尔济斯犬的寿命一般有多久？该问题的答案在知识库中对应的三元组为['马尔济斯犬 ||| 易患疾病 ||| 膝盖脱臼、流泪症、心脏病、眼疾']。这样对吗？	0
汉阴县的动车线有几条？该问题的答案在知识库中对应的三元组为['没有找到该问题对应的知识']。这样对吗？	1
汉阴县的动车线有几条？该问题的答案在知识库中对应的三元组为['汉阴县 ||| 火车站 ||| 阳安铁路汉阴站']。这样对吗？	0
阿修·克里门森是哪个学校毕业的？该问题的答案在知识库中对应的三元组为['没有找到该问题对应的知识']。这样对吗？	1
阿修·克里门森是哪个学校毕业的？该问题的答案在知识库中对应的三元组为['阿修·克里门森 ||| 英文名 ||| ASH CRIMSO']。这样对吗？	0
聂禹对哪些事有浓厚的兴趣？该问题的答案在知识库中对应的三元组为['聂禹 ||| 爱好 ||| 写作、看电影、看书']。这样对吗？	1
